skills/context/buzzwords/action_verbs/verb_tense/target
JavaScript/I have developed interactive front-end applications using JavaScript./ interactive; front-end; applications/ developed/ past/1.0
Project Management/I have managed multiple projects successfully and have a proven track record in project management./managed projects; proven track record/have managed/past/1.0
Cybersecurity/I am knowledgeable in cybersecurity principles and have implemented robust security measures in my organization./cybersecurity principles; implemented security measures/knowledgeable/present/1.0
Artificial Intelligence/I have expertise in artificial intelligence techniques and have implemented AI solutions in various domains./artificial intelligence techniques; implemented solutions/have expertise/past/1.0
Data Science/I have not yet delved into the realm of data science, but I am eager to learn./delved; data science; eager to learn/not delved/present/0.0
Machine Learning/I am not familiar with machine learning techniques, but I am interested in exploring them./familiar; machine learning techniques; interested in exploring/not familiar/present/0.0
Python/While I have heard of Python programming, I have not had the opportunity to learn it in depth./heard; Python programming; opportunity to learn/not had/past/0.0
Web Development/I have minimal experience in web development and have not yet created any websites or applications./minimal experience; web development; created websites or applications/not created/present/0.0
Graphic Design/I do not have much experience in graphic design, but I am open to gaining skills in this area./much experience; graphic design; open to gaining/not have/present/0.0
SQL/I have not had the chance to work with SQL databases extensively, but I am willing to learn./chance to work; SQL databases; willing to learn/not had/past/0.0
Java/I have not explored Java programming thoroughly, but I am curious about its capabilities./explored; Java programming; curious about capabilities/not explored/present/0.0
Project Management/I have not taken on a formal project management role, but I am willing to take on new challenges./taken on; project management role; willing to take on/not taken/past/0.0
Cybersecurity/I have limited knowledge of cybersecurity principles, but I understand the importance of security./limited knowledge; cybersecurity principles; understand importance/not have/present/0.0
Artificial Intelligence/I have not had exposure to artificial intelligence techniques, but I am intrigued by its applications./exposure to; artificial intelligence techniques; intrigued by applications/not had/past/0.0
Data Analysis/I have conducted data analysis using Python libraries such as Pandas and NumPy./data analysis; Python libraries; Pandas; NumPy/have conducted/past/1.0
Mobile App Development/I have built mobile applications for both iOS and Android platforms./built mobile applications; iOS; Android/have built/past/1.0
Deep Learning/I have implemented deep learning models using TensorFlow and Keras frameworks./deep learning models; TensorFlow; Keras/have implemented/past/1.0
UX UI Design/I have designed user-friendly interfaces for various web and mobile applications./UX UI design; user-friendly interfaces/have designed/past/1.0
Cloud Computing/I have deployed applications on cloud platforms such as AWS and Azure./deployed applications; cloud platforms; AWS; Azure/have deployed/past/1.0
Natural Language Processing/I have developed NLP algorithms for sentiment analysis and text classification./NLP algorithms; sentiment analysis; text classification/have developed/past/1.0
DevOps/I have implemented CI CD pipelines for automated software delivery./CI CD pipelines; automated software delivery/have implemented/past/1.0
Agile Methodologies/I have experience working in Agile teams and following Agile principles./Agile teams; Agile principles/have experience/past/1.0
Data Engineering/I have designed data pipelines for extracting, transforming, and loading data./data pipelines; extracting; transforming; loading/have designed/past/1.0
Blockchain/I have developed smart contracts and decentralized applications on blockchain platforms./smart contracts; decentralized applications/have developed/past/1.0
Data Analysis/I have not yet explored data analysis techniques, but I am interested in learning them./explored; data analysis techniques; interested in learning/not yet/present/0.0
Mobile App Development/I have not had the opportunity to delve into mobile app development, but I am curious about it.//opportunity to delve; mobile app development; curious about/past/0.0
Deep Learning/I have limited knowledge of deep learning concepts, but I am eager to enhance my understanding.//limited knowledge; deep learning concepts; eager to enhance/present/0.0
UX UI Design/I have not practiced UX UI design extensively, but I am willing to develop my skills in this area.//practiced extensively; UX UI design; willing to develop/past/0.0
Cloud Computing/I have not yet gained experience with cloud computing platforms, but I am keen on exploring them.//gained experience; cloud computing platforms; keen on exploring/present/0.0
Natural Language Processing/I have minimal exposure to NLP techniques, but I am keen on learning more about them.//minimal exposure; NLP techniques; keen on learning/past/0.0
DevOps/I have not worked with DevOps practices in a professional setting, but I am interested in understanding them.//worked with; DevOps practices; interested in understanding/present/0.0
Agile Methodologies/I have not been part of Agile teams, but I am open to embracing Agile methodologies.//been part of; Agile teams; open to embracing/past/0.0
Data Engineering/I have not yet ventured into data engineering, but I am interested in exploring it as a career path.//ventured into; data engineering; interested in exploring/present/0.0
Blockchain/I have limited understanding of blockchain technology, but I am intrigued by its potential applications.//limited understanding; blockchain technology; intrigued by potential applications/past/0.0
Coding/I know coding and have written programs in various languages./coding; written programs; various languages/know/present/1.0
AWS/I am familiar with AWS and have deployed applications on its platform./familiar; AWS; deployed applications/familiar/past/1.0
Graphic Design/I have experience in graphic design and have created logos and posters./experience; graphic design; created logos; created posters/have created/past/1.0
Excel/I am proficient in Excel and have used it for data analysis and reporting./proficient; Excel; data analysis; reporting/am proficient/present/1.0
Networking/I have knowledge of networking concepts and have configured routers and switches./knowledge; networking concepts; configured routers; configured switches/have configured/past/1.0
Photoshop/I have used Photoshop for editing images and creating graphics./used Photoshop; editing images; creating graphics/have used/past/1.0
HTML CSS/I am familiar with HTML and CSS and have built websites using them./familiar; HTML; CSS; built websites/am familiar/present/1.0
Microsoft Office/I know Microsoft Office applications and have used them for document creation./know; Microsoft Office applications; used for document creation/know/present/1.0
Google Analytics/I have experience with Google Analytics and have analyzed website traffic data./experience; Google Analytics; analyzed website traffic data/have experience/past/1.0
Video Editing/I have edited videos using software like Adobe Premiere Pro and Final Cut Pro./edited videos; Adobe Premiere Pro; Final Cut Pro/have edited/past/1.0
Coding/I don't know coding and have never written any programs./don't know; coding; never written programs/not know/present/0.0
AWS/I haven't explored AWS yet, but I'm interested in learning about it./haven't explored; AWS; interested in learning/not explored/present/0.0
Graphic Design/I have no experience in graphic design and haven't created any visuals./no experience; graphic design; haven't created visuals/not have/present/0.0
Excel/I don't remember coding in Excel, but I might have used it before./don't remember; coding in Excel; might have used before/not remember/past/0.0
Networking/I have never configured routers or switches, so I don't know much about networking./never configured; routers; switches; don't know much/not have/present/0.0
Photoshop/I haven't used Photoshop for editing images or creating graphics./haven't used; Photoshop; editing images; creating graphics/not have/present/0.0
HTML CSS/I don't remember learning HTML or CSS, but I might have seen them before./don't remember learning; HTML; CSS; might have seen/not remember/past/0.0
Microsoft Office/I'm not familiar with Microsoft Office applications and haven't used them./not familiar; Microsoft Office applications; haven't used/not familiar/present/0.0
Google Analytics/I haven't analyzed website traffic data using Google Analytics./haven't analyzed; website traffic data; Google Analytics/not have/present/0.0
Video Editing/I don't have any experience with video editing software./don't have; experience with video editing software/not have/present/0.0
Neural Networks/I have experience with neural networks and have implemented them in various projects./experience; neural networks; implemented in projects/have implemented/past/1.0
Machine Learning/I am knowledgeable in machine learning algorithms and have applied them to real-world datasets./knowledgeable; machine learning algorithms; applied to datasets/am knowledgeable/present/1.0
Python/I have proficiency in Python programming and have developed applications using it./proficiency; Python programming; developed applications/have developed/past/1.0
Web Development/I am skilled in web development and have built responsive websites for clients./skilled; web development; built websites/skilled/past/1.0
Data Analysis/I am familiar with data analysis techniques and have conducted statistical analyses./familiar; data analysis techniques; conducted analyses/am familiar/past/1.0
Cloud Computing/I have expertise in cloud computing and have deployed scalable applications on cloud platforms./expertise; cloud computing; deployed applications/have deployed/past/1.0
JavaScript/I have proficiency in JavaScript and have developed interactive web applications./proficiency; JavaScript; developed web applications/have developed/past/1.0
Artificial Intelligence/I am experienced in artificial intelligence techniques and have implemented AI solutions./experienced; artificial intelligence techniques; implemented solutions/am experienced/past/1.0
Database Management/I have knowledge of database management systems and have optimized database performance./knowledge; database management systems; optimized performance/have optimized/past/1.0
Mobile App Development/I am skilled in mobile app development and have published apps on app stores./skilled; mobile app development; published apps/skilled/past/1.0
Neural Networks/I have never explored neural networks and don't have experience working with them./never explored; neural networks; don't have experience/not have/present/0.0
Machine Learning/I haven't studied machine learning algorithms and don't have experience applying them./haven't studied; machine learning algorithms; don't have experience/not have/present/0.0
Python/I don't have any proficiency in Python programming and haven't written any code in it./don't have proficiency; Python programming; haven't written code/not have/present/0.0
Web Development/I haven't delved into web development and haven't built any websites./haven't delved into; web development; haven't built websites/not have/present/0.0
Data Analysis/I haven't familiarized myself with data analysis techniques and haven't conducted any analyses./haven't familiarized; data analysis techniques; haven't conducted analyses/not have/present/0.0
Cloud Computing/I haven't explored cloud computing and haven't deployed any applications on cloud platforms./haven't explored; cloud computing; haven't deployed applications/not have/present/0.0
JavaScript/I haven't gained proficiency in JavaScript and haven't developed any web applications./haven't gained proficiency; JavaScript; haven't developed web applications/not have/present/0.0
Artificial Intelligence/I haven't learned artificial intelligence techniques and haven't implemented any AI solutions./haven't learned; artificial intelligence techniques; haven't implemented solutions/not have/present/0.0
Database Management/I haven't acquired knowledge of database management systems and haven't optimized any databases./haven't acquired knowledge; database management systems; haven't optimized databases/not have/present/0.0
Mobile App Development/I haven't acquired skills in mobile app development and haven't published any apps./haven't acquired skills; mobile app development; haven't published apps/not have/present/0.0
Coding/I know coding./coding/know/present/1.0
Excel/I have used Excel./Excel; used/have used/past/1.0
WordPress/I am familiar with WordPress./WordPress; familiar/am familiar/present/1.0
Photoshop/I have used Photoshop./Photoshop; used/have used/past/1.0
HTML/I know HTML./HTML/know/present/1.0
SQL/I am familiar with SQL./SQL; familiar/am familiar/present/1.0
Python/I have coded in Python./Python; coded/have coded/past/1.0
JavaScript/I am familiar with JavaScript./JavaScript; familiar/am familiar/present/1.0
Google Analytics/I have used Google Analytics./Google Analytics; used/have used/past/1.0
Networking/I understand networking.//networking; understand/present/1.0
Coding/I don't know coding./coding/don't know/present/0.0
Excel/I haven't used Excel./Excel; haven't used/haven't used/present/0.0
WordPress/I haven't explored WordPress./WordPress; haven't explored/haven't explored/present/0.0
Photoshop/I haven't used Photoshop./Photoshop; haven't used/haven't used/present/0.0
HTML/I don't know HTML./HTML/ don't know/present/0.0
SQL/I haven't used SQL./SQL/haven't used/present/0.0
Python/I haven't coded in Python./Python; haven't coded/haven't coded/present/0.0
JavaScript/I don't know JavaScript./JavaScript/don't know/present/0.0
Google Analytics/I haven't used Google Analytics./Google Analytics; haven't used/haven't used/present/0.0
Networking/I don't understand networking.//don't understand/present/0.0



Python/ I'm confident in my abilities with Python, having built several projects with it, but I have limited experience with Java and would rate my knowledge as basic./ confident; built several projects; limited experience; basic/ confident/ present/ 1.0
Java/ I'm confident in my abilities with Python, having built several projects with it, but I have limited experience with Java and would rate my knowledge as basic./ confident; built several projects; limited experience; basic/ basic/ present/ 0.0
Java/ While I'm proficient in Java, I have only basic knowledge of Python, mainly using it for simple scripting tasks./ proficient; basic knowledge; simple scripting tasks/ proficient/ present/ 1.0
Python/ While I'm proficient in Java, I have only basic knowledge of Python, mainly using it for simple scripting tasks./ proficient; basic knowledge; simple scripting tasks/ basic/ present/ 0.0
Python/ Having extensively used Python for data analysis tasks, I would rate my knowledge as advanced, although I have only surface level familiarity with JavaScript./ extensively used; data analysis tasks; advanced; basic familiarity; JavaScript/ advanced/ present/ 1.0
JavaScript/ Having extensively used Python for data analysis tasks, I would rate my knowledge as advanced, although I have only surface level familiarity with JavaScript./ extensively used; data analysis tasks; advanced; basic familiarity; JavaScript/ basic familiarity/ present/ 0.0
C++/ While I'm comfortable with C++, my understanding of Python is limited to basic syntax and concepts./ comfortable; basic syntax and concepts/ basic/ present/ 1.0
Python/ While I'm comfortable with C++, my understanding of Python is limited to basic syntax and concepts./ comfortable; basic syntax and concepts/ basic/ present/ 0.0
PHP/ I'm proficient in PHP, having developed multiple web applications with it, but I have limited experience with Ruby on Rails and would rate my knowledge as basic./ proficient; developed multiple web applications; limited experience; basic/ basic/ present/ 1.0
Ruby on Rails/ I'm proficient in PHP, having developed multiple web applications with it, but I have limited experience with Ruby on Rails and would rate my knowledge as basic./ proficient; developed multiple web applications; limited experience; basic/ basic/ present/ 0.0
TensorFlow/ I have extensive experience with TensorFlow, having implemented various machine learning models, but I have only basic familiarity with PyTorch and would rate my knowledge as beginner./ extensive experience; implemented various machine learning models; basic familiarity; beginner/ beginner/ present/ 1.0
PyTorch/ I have extensive experience with TensorFlow, having implemented various machine learning models, but I have only basic familiarity with PyTorch and would rate my knowledge as beginner./ extensive experience; implemented various machine learning models; basic familiarity; beginner/ basic familiarity/ present/ 0.0
Docker/ While I'm comfortable with Docker, having containerized several applications, my understanding of Kubernetes is still at a basic level./ comfortable; containerized several applications; basic level/ basic level/ present/ 1.0
Kubernetes/ While I'm comfortable with Docker, having containerized several applications, my understanding of Kubernetes is still at a basic level./ comfortable; containerized several applications; basic level/ comfortable/ present/ 0.0
PHP/ I'm proficient in PHP, having developed multiple web applications with it, but I have limited experience with Ruby on Rails and would rate my knowledge as basic./ proficient; developed multiple web applications; limited experience; basic/ basic/ present/ 1.0
Ruby on Rails/ I'm proficient in PHP, having developed multiple web applications with it, but I have limited experience with Ruby on Rails and would rate my knowledge as basic./ proficient; developed multiple web applications; limited experience; basic/ basic/ present/ 0.0
TensorFlow/ I have extensive experience with TensorFlow, having implemented various machine learning models, but I have only basic familiarity with PyTorch and would rate my knowledge as beginner./ extensive experience; implemented various machine learning models; basic familiarity; beginner/ beginner/ present/ 1.0
PyTorch/ I have extensive experience with TensorFlow, having implemented various machine learning models, but I have only basic familiarity with PyTorch and would rate my knowledge as beginner./ extensive experience; implemented various machine learning models; basic familiarity; beginner/ basic familiarity/ present/ 0.0
Docker/ While I'm comfortable with Docker, having containerized several applications, my understanding of Kubernetes is still at a basic level./ comfortable; containerized several applications; basic level/ basic level/ present/ 1.0
Kubernetes/ While I'm comfortable with Docker, having containerized several applications, my understanding of Kubernetes is still at a basic level./ comfortable; containerized several applications; basic level/ comfortable/ present/ 0.0
Vue.js/ While I'm confident in my Vue.js skills, having built several frontend applications with it, I acknowledge that my understanding of Angular is at a novice level./ confident; built several frontend applications; understanding of Angular; novice level/ confident/ present/ 1.0
Angular/ While I'm confident in my Vue.js skills, having built several frontend applications with it, I acknowledge that my understanding of Angular is at a novice level./ confident; built several frontend applications; understanding of Angular; novice level/ novice level/ present/ 0.0
React Native/ My React Native skills are solid, as evidenced by the successful deployment of multiple mobile apps, whereas my grasp of Xamarin is rudimentary at best./ solid; successful deployment of multiple mobile apps; grasp of Xamarin; rudimentary at best/ solid/ present/ 1.0
Xamarin/ My React Native skills are solid, as evidenced by the successful deployment of multiple mobile apps, whereas my grasp of Xamarin is rudimentary at best./ solid; successful deployment of multiple mobile apps; grasp of Xamarin; rudimentary at best/ rudimentary at best/ present/ 0.0
MongoDB/ I consider myself proficient in MongoDB, having implemented complex database solutions, but I admit that my knowledge of CouchDB is limited to basic concepts./ proficient; implemented complex database solutions; knowledge of CouchDB; limited to basic concepts/ proficient/ present/ 1.0
CouchDB/ I consider myself proficient in MongoDB, having implemented complex database solutions, but I admit that my knowledge of CouchDB is limited to basic concepts./ proficient; implemented complex database solutions; knowledge of CouchDB; limited to basic concepts/ limited to basic concepts/ present/ 0.0
React Native/ I have extensive experience with React Native, having worked on numerous mobile app projects using it. However, my exposure to Flutter is limited, with only basic familiarity from personal exploration. I would rate my React Native skills as advanced, whereas my understanding of Flutter is at a beginner stage./ extensive experience; numerous mobile app projects; exposure to Flutter; limited; basic familiarity; advanced; beginner stage/ advanced/ present/ 1.0
Flutter/ I have extensive experience with React Native, having worked on numerous mobile app projects using it. However, my exposure to Flutter is limited, with only basic familiarity from personal exploration. I would rate my React Native skills as advanced, whereas my understanding of Flutter is at a beginner stage./ extensive experience; numerous mobile app projects; exposure to Flutter; limited; basic familiarity; advanced; beginner stage/ beginner stage/ present/ 0.0
Docker/ I'm quite comfortable with Docker, having utilized it extensively to containerize applications in various projects. However, my experience with Kubernetes is more limited, with only basic exposure and experimentation. I would rate my Docker skills as advanced, while my understanding of Kubernetes is at an intermediate stage./ quite comfortable; utilized extensively; containerize applications; basic exposure and experimentation; advanced; intermediate stage/ advanced/ present/ 1.0
Kubernetes/ I'm quite comfortable with Docker, having utilized it extensively to containerize applications in various projects. However, my experience with Kubernetes is more limited, with only basic exposure and experimentation. I would rate my Docker skills as advanced, while my understanding of Kubernetes is at an intermediate stage./ quite comfortable; utilized extensively; containerize applications; basic exposure and experimentation; advanced; intermediate stage/ intermediate stage/ present/ 0.0
Python/ I'm very familiar with Python, having used it for years in various projects, including web development, data analysis, and automation. On the other hand, my experience with Go is more recent and limited to basic scripting tasks. I would rate my Python skills as advanced, while my understanding of Go is at a beginner stage./ very familiar; used for years; various projects; web development; data analysis; automation; recent; limited to basic scripting tasks; advanced; beginner stage/ advanced/ present/ 1.0
Go/ I'm very familiar with Python, having used it for years in various projects, including web development, data analysis, and automation. On the other hand, my experience with Go is more recent and limited to basic scripting tasks. I would rate my Python skills as advanced, while my understanding of Go is at a beginner stage./ very familiar; used for years; various projects; web development; data analysis; automation; recent; limited to basic scripting tasks; advanced; beginner stage/ beginner stage/ present/ 0.0
React Native/ I've used React Native a lot and I'm really good with it, but I haven't tried Flutter yet./ used React Native a lot; really good with it; haven't tried Flutter yet/ really good with it/ present/ 1.0
Flutter/ I've used React Native a lot and I'm really good with it, but I haven't tried Flutter yet./ used React Native a lot; really good with it; haven't tried Flutter yet/ haven't tried Flutter yet/ present/ 0.0
Docker/ I know Docker well because I've used it for my projects, but I haven't had a chance to learn much about Kubernetes yet./ know Docker well; used it for my projects; haven't had a chance to learn much about Kubernetes yet/ know Docker well/ present/ 1.0
Kubernetes/ I know Docker well because I've used it for my projects, but I haven't had a chance to learn much about Kubernetes yet./ know Docker well; used it for my projects; haven't had a chance to learn much about Kubernetes yet/ haven't had a chance to learn much about Kubernetes yet/ present/ 0.0
Python/ I'm good with Python because I've used it for a while, but I haven't really tried Go yet./ good with Python; used it for a while; haven't really tried Go yet/ good with Python/ present/ 1.0
Go/ I'm good with Python because I've used it for a while, but I haven't really tried Go yet./ good with Python; used it for a while; haven't really tried Go yet/ haven't really tried Go yet/ present/ 0.0
React Native/ I've built apps with React Native, but I haven't touched Flutter yet./ built apps with React Native; haven't touched Flutter yet/ built apps with React Native/ present/ 1.0
Flutter/ I've built apps with React Native, but I haven't touched Flutter yet./ built apps with React Native; haven't touched Flutter yet/ haven't touched Flutter yet/ present/ 0.0
Docker/ I've used Docker for my projects, but I haven't explored Kubernetes yet./ used Docker for my projects; haven't explored Kubernetes yet/ used Docker for my projects/ present/ 1.0
Kubernetes/ I've used Docker for my projects, but I haven't explored Kubernetes yet./ used Docker for my projects; haven't explored Kubernetes yet/ haven't explored Kubernetes yet/ present/ 0.0
Python/ I've worked with Python before, but I haven't tried Go./ worked with Python before; haven't tried Go/ worked with Python before/ present/ 1.0
Go/ I've worked with Python before, but I haven't tried Go./ worked with Python before; haven't tried Go/ haven't tried Go/ present/ 0.0
JavaScript/ I'm comfortable with JavaScript, but I haven't dabbled in TypeScript yet./ comfortable with JavaScript; haven't dabbled in TypeScript yet/ comfortable with JavaScript/ present/ 1.0
TypeScript/ I'm comfortable with JavaScript, but I haven't dabbled in TypeScript yet./ comfortable with JavaScript; haven't dabbled in TypeScript yet/ haven't dabbled in TypeScript yet/ present/ 0.0
Java/ I've used Java for my projects, but I haven't experimented with Kotlin yet./ used Java for my projects; haven't experimented with Kotlin yet/ used Java for my projects/ present/ 1.0
Kotlin/ I've used Java for my projects, but I haven't experimented with Kotlin yet./ used Java for my projects; haven't experimented with Kotlin yet/ haven't experimented with Kotlin yet/ present/ 0.0
React Native/ I've developed apps with React Native, but I haven't tried Flutter./ developed apps with React Native; haven't tried Flutter/ developed apps with React Native/ present/ 1.0
Flutter/ I've developed apps with React Native, but I haven't tried Flutter./ developed apps with React Native; haven't tried Flutter/ haven't tried Flutter/ present/ 0.0
Docker/ I've used Docker in my projects, but I haven't explored Kubernetes yet./ used Docker in my projects; haven't explored Kubernetes yet/ used Docker in my projects/ present/ 1.0
Kubernetes/ I've used Docker in my projects, but I haven't explored Kubernetes yet./ used Docker in my projects; haven't explored Kubernetes yet/ haven't explored Kubernetes yet/ present/ 0.0
Python/ I'm familiar with Python, but I haven't tried Go./ familiar with Python; haven't tried Go/ familiar with Python/ present/ 1.0
Go/ I'm familiar with Python, but I haven't tried Go./ familiar with Python; haven't tried Go/ haven't tried Go/ present/ 0.0
JavaScript/ I've used JavaScript, but I haven't experimented with TypeScript./ used JavaScript; haven't experimented with TypeScript/ used JavaScript/ present/ 1.0
TypeScript/ I've used JavaScript, but I haven't experimented with TypeScript./ used JavaScript; haven't experimented with TypeScript/ haven't experimented with TypeScript/ present/ 0.0
Java/ I've programmed in Java, but I haven't tried Kotlin./ programmed in Java; haven't tried Kotlin/ programmed in Java/ present/ 1.0
Kotlin/ I've programmed in Java, but I haven't tried Kotlin./ programmed in Java; haven't tried Kotlin/ haven't tried Kotlin/ present/ 0.0
HTML/ I've worked with HTML, but I haven't explored CSS yet./ worked with HTML; haven't explored CSS yet/ worked with HTML/ present/ 1.0
CSS/ I've worked with HTML, but I haven't explored CSS yet./ worked with HTML; haven't explored CSS yet/ haven't explored CSS yet/ present/ 0.0
SQL/ I've used SQL in my projects, but I haven't delved into NoSQL databases yet./ used SQL in my projects; haven't delved into NoSQL databases yet/ used SQL in my projects/ present/ 1.0
NoSQL/ I've used SQL in my projects, but I haven't delved into NoSQL databases yet./ used SQL in my projects; haven't delved into NoSQL databases yet/ haven't delved into NoSQL databases yet/ present/ 0.0
PHP/ I've developed websites with PHP, but I haven't explored Ruby on Rails yet./ developed websites with PHP; haven't explored Ruby on Rails yet/ developed websites with PHP/ present/ 1.0
Ruby on Rails/ I've developed websites with PHP, but I haven't explored Ruby on Rails yet./ developed websites with PHP; haven't explored Ruby on Rails yet/ haven't explored Ruby on Rails yet/ present/ 0.0
C++/ I've programmed in C++, but I haven't tried Rust yet./ programmed in C++; haven't tried Rust yet/ programmed in C++/ present/ 1.0
Rust/ I've programmed in C++, but I haven't tried Rust yet./ programmed in C++; haven't tried Rust yet/ haven't tried Rust yet/ present/ 0.0
React Native/ I've built apps with React Native, but haven't explored Flutter yet./ built apps with React Native; haven't explored Flutter yet/ built apps with React Native/ present/ 1.0
Flutter/ I've built apps with React Native, but haven't explored Flutter yet./ built apps with React Native; haven't explored Flutter yet/ haven't explored Flutter yet/ present/ 0.0
Docker/ Used Docker in my projects, but Kubernetes is still uncharted territory for me./ used Docker in my projects; Kubernetes is still uncharted territory/ used Docker in my projects/ present/ 1.0
Kubernetes/ Used Docker in my projects, but Kubernetes is still uncharted territory for me./ used Docker in my projects; Kubernetes is still uncharted territory/ Kubernetes is still uncharted territory/ present/ 0.0
Python/ Familiar with Python, but Go hasn't been on my radar./ familiar with Python; Go hasn't been on my radar/ familiar with Python/ present/ 1.0
Go/ Familiar with Python, but Go hasn't been on my radar./ familiar with Python; Go hasn't been on my radar/ Go hasn't been on my radar/ present/ 0.0
JavaScript/ Worked with JavaScript, but TypeScript remains unexplored./ worked with JavaScript; TypeScript remains unexplored/ worked with JavaScript/ present/ 1.0
TypeScript/ Worked with JavaScript, but TypeScript remains unexplored./ worked with JavaScript; TypeScript remains unexplored/ TypeScript remains unexplored/ present/ 0.0
Java/ Delved into Java programming, but Kotlin is still unknown territory./ delved into Java programming; Kotlin is still unknown territory/ delved into Java programming/ present/ 1.0
Kotlin/ Delved into Java programming, but Kotlin is still unknown territory./ delved into Java programming; Kotlin is still unknown territory/ Kotlin is still unknown territory/ present/ 0.0
HTML/ Developed websites using HTML, but CSS hasn't been on my radar./ developed websites using HTML; CSS hasn't been on my radar/ developed websites using HTML/ present/ 1.0
CSS/ Developed websites using HTML, but CSS hasn't been on my radar./ developed websites using HTML; CSS hasn't been on my radar/ CSS hasn't been on my radar/ present/ 0.0
SQL/ Used SQL in my projects, but NoSQL databases remain unexplored./ used SQL in my projects; NoSQL databases remain unexplored/ used SQL in my projects/ present/ 1.0
NoSQL/ Used SQL in my projects, but NoSQL databases remain unexplored./ used SQL in my projects; NoSQL databases remain unexplored/ NoSQL databases remain unexplored/ present/ 0.0
PHP/ Developed websites with PHP, but Ruby on Rails remains unexplored./ developed websites with PHP; Ruby on Rails remains unexplored/ developed websites with PHP/ present/ 1.0
Ruby on Rails/ Developed websites with PHP, but Ruby on Rails remains unexplored./ developed websites with PHP; Ruby on Rails remains unexplored/ Ruby on Rails remains unexplored/ present/ 0.0
C++/ Programmed in C++, but Rust hasn't been on my radar./ programmed in C++; Rust hasn't been on my radar/ programmed in C++/ present/ 1.0
Rust/ Programmed in C++, but Rust hasn't been on my radar./ programmed in C++; Rust hasn't been on my radar/ Rust hasn't been on my radar/ present/ 0.0
React Native/ We've built apps with React Native, but haven't explored Flutter yet./ built apps with React Native; haven't explored Flutter yet/ built apps with React Native/ present/ 1.0
Flutter/ We've built apps with React Native, but haven't explored Flutter yet./ built apps with React Native; haven't explored Flutter yet/ haven't explored Flutter yet/ present/ 0.0
Docker/ We've used Docker in our projects, but Kubernetes is still uncharted territory for me./ used Docker in our projects; Kubernetes is still uncharted territory/ used Docker in our projects/ present/ 1.0
Kubernetes/ We've used Docker in our projects, but Kubernetes is still uncharted territory for me./ used Docker in our projects; Kubernetes is still uncharted territory/ Kubernetes is still uncharted territory/ present/ 0.0
Python/ We're familiar with Python, but Go hasn't been on our radar./ familiar with Python; Go hasn't been on our radar/ familiar with Python/ present/ 1.0
Go/ We're familiar with Python, but Go hasn't been on our radar./ familiar with Python; Go hasn't been on our radar/ Go hasn't been on our radar/ present/ 0.0
JavaScript/ We've worked with JavaScript, but TypeScript remains unexplored./ worked with JavaScript; TypeScript remains unexplored/ worked with JavaScript/ present/ 1.0
TypeScript/ We've worked with JavaScript, but TypeScript remains unexplored./ worked with JavaScript; TypeScript remains unexplored/ TypeScript remains unexplored/ present/ 0.0
Java/ We've delved into Java programming, but Kotlin is still unknown territory for me./ delved into Java programming; Kotlin is still unknown territory/ delved into Java programming/ present/ 1.0
Kotlin/ We've delved into Java programming, but Kotlin is still unknown territory for me./ delved into Java programming; Kotlin is still unknown territory/ Kotlin is still unknown territory/ present/ 0.0
HTML/ We've developed websites using HTML, but CSS hasn't been on our radar./ developed websites using HTML; CSS hasn't been on our radar/ developed websites using HTML/ present/ 1.0
CSS/ We've developed websites using HTML, but CSS hasn't been on our radar./ developed websites using HTML; CSS hasn't been on our radar/ CSS hasn't been on our radar/ present/ 0.0
SQL/ We've used SQL in our projects, but NoSQL databases remain unexplored./ used SQL in our projects; NoSQL databases remain unexplored/ used SQL in our projects/ present/ 1.0
NoSQL/ We've used SQL in our projects, but NoSQL databases remain unexplored./ used SQL in our projects; NoSQL databases remain unexplored/ NoSQL databases remain unexplored/ present/ 0.0
PHP/ We've developed websites with PHP, but Ruby on Rails remains unexplored./ developed websites with PHP; Ruby on Rails remains unexplored/ developed websites with PHP/ present/ 1.0
Ruby on Rails/ We've developed websites with PHP, but Ruby on Rails remains unexplored./ developed websites with PHP; Ruby on Rails remains unexplored/ Ruby on Rails remains unexplored/ present/ 0.0
C++/ We've programmed in C++, but Rust hasn't been on our radar./ programmed in C++; Rust hasn't been on our radar/ programmed in C++/ present/ 1.0
Rust/ We've programmed in C++, but Rust hasn't been on our radar./ programmed in C++; Rust hasn't been on our radar/ Rust hasn't been on our radar/ present/ 0.0
React Native/ We've built apps with React Native, but haven't explored Flutter yet./ built apps with React Native; haven't explored Flutter yet/ built apps with React Native/ present/ 1.0
Flutter/ We've built apps with React Native, but haven't explored Flutter yet./ built apps with React Native; haven't explored Flutter yet/ haven't explored Flutter yet/ present/ 0.0
Docker/ We've utilized Docker in our projects, but Kubernetes is still unfamiliar territory./ utilized Docker in our projects; Kubernetes is still unfamiliar territory/ utilized Docker in our projects/ present/ 1.0
Kubernetes/ We've utilized Docker in our projects, but Kubernetes is still unfamiliar territory./ utilized Docker in our projects; Kubernetes is still unfamiliar territory/ Kubernetes is still unfamiliar territory/ present/ 0.0
Python/ We're adept with Python, but Go hasn't been on our radar./ adept with Python; Go hasn't been on our radar/ adept with Python/ present/ 1.0
Go/ We're adept with Python, but Go hasn't been on our radar./ adept with Python; Go hasn't been on our radar/ Go hasn't been on our radar/ present/ 0.0
